127.0.0.1 - - [08/Feb/2022:09:40:36 +0900] "GET / HTTP/1.1" 404 807
192.168.16.21 - - [08/Feb/2022:09:49:05 +0900] "GET /study/index.jsp HTTP/1.1" 200 147
192.168.16.21 - - [08/Feb/2022:09:49:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.16.20 - - [08/Feb/2022:09:56:21 +0900] "GET /study HTTP/1.1" 302 -
192.168.16.20 - - [08/Feb/2022:09:56:21 +0900] "GET /study/ HTTP/1.1" 200 156
192.168.16.20 - - [08/Feb/2022:09:56:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.16.20 - - [08/Feb/2022:09:56:40 +0900] "GET /study/ HTTP/1.1" 200 156
192.168.16.20 - - [08/Feb/2022:09:56:55 +0900] "GET /study/ HTTP/1.1" 200 156
192.168.16.26 - - [08/Feb/2022:09:56:55 +0900] "GET /study/ HTTP/1.1" 200 156
192.168.16.15 - - [08/Feb/2022:09:56:55 +0900] "GET /study/ HTTP/1.1" 200 156
192.168.16.21 - - [08/Feb/2022:09:56:56 +0900] "GET /study/ HTTP/1.1" 200 156
192.168.16.15 - - [08/Feb/2022:09:57:24 +0900] "GET /study/ HTTP/1.1" 200 156
192.168.16.15 - - [08/Feb/2022:09:57:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
